image,class,xmin,ymin,xmax,ymax
images\Mouse_bite\05_mouse_bite_07.jpg,mouse_bite,388,338,464,382
images\Mouse_bite\05_mouse_bite_08.jpg,mouse_bite,520,1087,603,1126
images\Mouse_bite\05_mouse_bite_08.jpg,mouse_bite,94,956,128,1032
images\Mouse_bite\05_mouse_bite_08.jpg,mouse_bite,2030,640,2072,720
images\Mouse_bite\05_mouse_bite_08.jpg,mouse_bite,2256,1316,2310,1393
images\Mouse_bite\05_mouse_bite_08.jpg,mouse_bite,1172,1292,1214,1370
images\Mouse_bite\05_mouse_bite_09.jpg,mouse_bite,981,567,1052,612
images\Mouse_bite\05_mouse_bite_09.jpg,mouse_bite,1525,579,1588,621
images\Mouse_bite\05_mouse_bite_09.jpg,mouse_bite,1624,1013,1675,1068
images\Mouse_bite\05_mouse_bite_09.jpg,mouse_bite,1605,1467,1650,1509
images\Mouse_bite\05_mouse_bite_09.jpg,mouse_bite,1542,1663,1601,1710
images\Mouse_bite\05_mouse_bite_10.jpg,mouse_bite,1291,632,1350,729
images\Mouse_bite\05_mouse_bite_10.jpg,mouse_bite,1838,971,1894,1062
images\Mouse_bite\05_mouse_bite_10.jpg,mouse_bite,1092,1698,1163,1746
images\Mouse_bite\05_mouse_bite_10.jpg,mouse_bite,1944,1332,2031,1378
images\Mouse_bite\05_mouse_bite_10.jpg,mouse_bite,1524,1267,1563,1335
images\Mouse_bite\06_mouse_bite_01.jpg,mouse_bite,1299,366,1372,407
images\Mouse_bite\06_mouse_bite_01.jpg,mouse_bite,1406,681,1445,741
images\Mouse_bite\06_mouse_bite_01.jpg,mouse_bite,1508,1609,1567,1644
images\Mouse_bite\06_mouse_bite_01.jpg,mouse_bite,2528,1580,2567,1654
images\Mouse_bite\06_mouse_bite_01.jpg,mouse_bite,589,1634,627,1693
images\Mouse_bite\06_mouse_bite_02.jpg,mouse_bite,491,968,559,1010
images\Mouse_bite\06_mouse_bite_02.jpg,mouse_bite,1274,1668,1310,1724
images\Mouse_bite\06_mouse_bite_02.jpg,mouse_bite,2084,980,2130,1056
images\Mouse_bite\06_mouse_bite_02.jpg,mouse_bite,1546,1101,1615,1135
images\Mouse_bite\06_mouse_bite_02.jpg,mouse_bite,1142,917,1201,950
images\Mouse_bite\06_mouse_bite_02.jpg,mouse_bite,1796,508,1854,545
images\Mouse_bite\06_mouse_bite_03.jpg,mouse_bite,1152,398,1237,447
images\Mouse_bite\06_mouse_bite_03.jpg,mouse_bite,1290,604,1366,649
images\Mouse_bite\06_mouse_bite_03.jpg,mouse_bite,2046,718,2087,783
images\Mouse_bite\06_mouse_bite_03.jpg,mouse_bite,818,1532,896,1565
images\Mouse_bite\06_mouse_bite_03.jpg,mouse_bite,199,981,244,1074
images\Mouse_bite\06_mouse_bite_04.jpg,mouse_bite,1224,606,1302,647
images\Mouse_bite\06_mouse_bite_04.jpg,mouse_bite,2242,842,2285,926
images\Mouse_bite\06_mouse_bite_04.jpg,mouse_bite,1958,1432,1996,1516
images\Mouse_bite\06_mouse_bite_04.jpg,mouse_bite,939,1288,975,1363
images\Mouse_bite\06_mouse_bite_04.jpg,mouse_bite,922,1068,985,1102
images\Mouse_bite\06_mouse_bite_05.jpg,mouse_bite,1747,576,1827,613
images\Mouse_bite\06_mouse_bite_05.jpg,mouse_bite,826,368,912,406
images\Mouse_bite\06_mouse_bite_05.jpg,mouse_bite,163,1220,204,1310
images\Mouse_bite\06_mouse_bite_05.jpg,mouse_bite,1059,1894,1115,1928
images\Mouse_bite\06_mouse_bite_05.jpg,mouse_bite,1824,1080,1856,1155
images\Mouse_bite\06_mouse_bite_06.jpg,mouse_bite,2239,845,2283,928
images\Mouse_bite\06_mouse_bite_06.jpg,mouse_bite,2073,1480,2108,1567
images\Mouse_bite\06_mouse_bite_06.jpg,mouse_bite,2346,1715,2408,1821
images\Mouse_bite\06_mouse_bite_06.jpg,mouse_bite,1250,1263,1325,1299
images\Mouse_bite\06_mouse_bite_06.jpg,mouse_bite,692,1529,772,1566
images\Mouse_bite\06_mouse_bite_07.jpg,mouse_bite,1801,508,1862,545
images\Mouse_bite\06_mouse_bite_07.jpg,mouse_bite,935,401,1023,444
images\Mouse_bite\06_mouse_bite_07.jpg,mouse_bite,1194,685,1278,725
images\Mouse_bite\06_mouse_bite_07.jpg,mouse_bite,1062,1063,1154,1102
images\Mouse_bite\06_mouse_bite_07.jpg,mouse_bite,1189,1290,1265,1325
images\Mouse_bite\06_mouse_bite_08.jpg,mouse_bite,2240,714,2286,834
images\Mouse_bite\06_mouse_bite_08.jpg,mouse_bite,1930,1297,1961,1380
images\Mouse_bite\06_mouse_bite_08.jpg,mouse_bite,1439,1083,1533,1113
images\Mouse_bite\06_mouse_bite_08.jpg,mouse_bite,1874,1780,1959,1810
images\Mouse_bite\06_mouse_bite_08.jpg,mouse_bite,893,1760,978,1799
images\Mouse_bite\06_mouse_bite_08.jpg,mouse_bite,1539,724,1576,795
images\Mouse_bite\06_mouse_bite_09.jpg,mouse_bite,415,762,490,803
images\Mouse_bite\06_mouse_bite_09.jpg,mouse_bite,806,705,846,788
images\Mouse_bite\06_mouse_bite_09.jpg,mouse_bite,968,1259,1017,1360
images\Mouse_bite\06_mouse_bite_09.jpg,mouse_bite,307,1380,352,1454
images\Mouse_bite\06_mouse_bite_09.jpg,mouse_bite,524,1871,565,1963
images\Mouse_bite\06_mouse_bite_10.jpg,mouse_bite,1851,915,1882,997
images\Mouse_bite\06_mouse_bite_10.jpg,mouse_bite,2073,1638,2111,1714
images\Mouse_bite\06_mouse_bite_10.jpg,mouse_bite,1231,1629,1270,1702
images\Mouse_bite\06_mouse_bite_10.jpg,mouse_bite,1609,1265,1679,1296
images\Mouse_bite\06_mouse_bite_10.jpg,mouse_bite,1003,763,1097,789
images\Mouse_bite\07_mouse_bite_01.jpg,mouse_bite,1098,544,1149,622
images\Mouse_bite\07_mouse_bite_01.jpg,mouse_bite,1696,882,1748,969
images\Mouse_bite\07_mouse_bite_01.jpg,mouse_bite,1927,629,1987,688
images\Mouse_bite\07_mouse_bite_01.jpg,mouse_bite,705,926,756,1019
images\Mouse_bite\07_mouse_bite_01.jpg,mouse_bite,1651,1312,1737,1367
images\Mouse_bite\07_mouse_bite_02.jpg,mouse_bite,1187,408,1242,488
images\Mouse_bite\07_mouse_bite_02.jpg,mouse_bite,1913,627,1991,686
images\Mouse_bite\07_mouse_bite_02.jpg,mouse_bite,1765,819,1829,900
images\Mouse_bite\07_mouse_bite_02.jpg,mouse_bite,1070,957,1151,1012
images\Mouse_bite\07_mouse_bite_02.jpg,mouse_bite,1049,1639,1158,1696
images\Mouse_bite\07_mouse_bite_03.jpg,mouse_bite,1092,576,1147,646
images\Mouse_bite\07_mouse_bite_03.jpg,mouse_bite,706,962,763,1046
images\Mouse_bite\07_mouse_bite_03.jpg,mouse_bite,1960,557,2020,620
images\Mouse_bite\07_mouse_bite_03.jpg,mouse_bite,2546,574,2594,665
images\Mouse_bite\07_mouse_bite_03.jpg,mouse_bite,2328,1032,2382,1141
images\Mouse_bite\07_mouse_bite_04.jpg,mouse_bite,1767,812,1829,884
images\Mouse_bite\07_mouse_bite_04.jpg,mouse_bite,1517,524,1555,591
images\Mouse_bite\07_mouse_bite_04.jpg,mouse_bite,987,201,1080,272
images\Mouse_bite\07_mouse_bite_04.jpg,mouse_bite,799,950,856,1015
images\Mouse_bite\07_mouse_bite_04.jpg,mouse_bite,515,762,598,857
images\Mouse_bite\07_mouse_bite_05.jpg,mouse_bite,1617,679,1696,732
images\Mouse_bite\07_mouse_bite_05.jpg,mouse_bite,2080,877,2160,926
images\Mouse_bite\07_mouse_bite_05.jpg,mouse_bite,2101,1322,2184,1374
images\Mouse_bite\07_mouse_bite_05.jpg,mouse_bite,1472,891,1536,955
images\Mouse_bite\07_mouse_bite_05.jpg,mouse_bite,1109,1124,1190,1174
images\Mouse_bite\07_mouse_bite_06.jpg,mouse_bite,696,398,799,462
images\Mouse_bite\07_mouse_bite_06.jpg,mouse_bite,1655,177,1777,255
images\Mouse_bite\07_mouse_bite_06.jpg,mouse_bite,880,863,953,934
images\Mouse_bite\07_mouse_bite_06.jpg,mouse_bite,2044,665,2098,724
images\Mouse_bite\07_mouse_bite_06.jpg,mouse_bite,2336,439,2387,520
images\Mouse_bite\07_mouse_bite_07.jpg,mouse_bite,1317,598,1399,648
images\Mouse_bite\07_mouse_bite_07.jpg,mouse_bite,1555,886,1627,951
images\Mouse_bite\07_mouse_bite_07.jpg,mouse_bite,1923,610,1989,682
images\Mouse_bite\07_mouse_bite_07.jpg,mouse_bite,1237,869,1342,919
images\Mouse_bite\07_mouse_bite_07.jpg,mouse_bite,442,844,532,912
images\Mouse_bite\07_mouse_bite_08.jpg,mouse_bite,1087,555,1148,644
images\Mouse_bite\07_mouse_bite_08.jpg,mouse_bite,1046,1308,1142,1367
images\Mouse_bite\07_mouse_bite_08.jpg,mouse_bite,1768,631,1846,693
images\Mouse_bite\07_mouse_bite_08.jpg,mouse_bite,2113,831,2208,881
images\Mouse_bite\07_mouse_bite_08.jpg,mouse_bite,2677,517,2744,620
images\Mouse_bite\07_mouse_bite_09.jpg,mouse_bite,960,384,1025,469
images\Mouse_bite\07_mouse_bite_09.jpg,mouse_bite,1617,629,1696,686
images\Mouse_bite\07_mouse_bite_09.jpg,mouse_bite,1975,700,2044,777
images\Mouse_bite\07_mouse_bite_09.jpg,mouse_bite,2322,1015,2384,1112
images\Mouse_bite\07_mouse_bite_09.jpg,mouse_bite,879,877,929,948
images\Mouse_bite\07_mouse_bite_10.jpg,mouse_bite,1561,869,1617,941
images\Mouse_bite\07_mouse_bite_10.jpg,mouse_bite,1972,927,2056,981
images\Mouse_bite\07_mouse_bite_10.jpg,mouse_bite,960,1122,1046,1184
images\Mouse_bite\07_mouse_bite_10.jpg,mouse_bite,2330,439,2384,526
images\Mouse_bite\07_mouse_bite_10.jpg,mouse_bite,1792,467,1863,550
images\Mouse_bite\08_mouse_bite_01.jpg,mouse_bite,1559,1182,1612,1241
images\Mouse_bite\08_mouse_bite_01.jpg,mouse_bite,571,1305,628,1354
images\Mouse_bite\08_mouse_bite_01.jpg,mouse_bite,2253,397,2340,462
images\Mouse_bite\08_mouse_bite_01.jpg,mouse_bite,2143,697,2205,746
images\Mouse_bite\08_mouse_bite_01.jpg,mouse_bite,1576,1818,1658,1874
images\Mouse_bite\08_mouse_bite_02.jpg,mouse_bite,1768,595,1850,639
images\Mouse_bite\08_mouse_bite_02.jpg,mouse_bite,2002,762,2069,829
images\Mouse_bite\08_mouse_bite_02.jpg,mouse_bite,1666,911,1738,977
images\Mouse_bite\08_mouse_bite_02.jpg,mouse_bite,450,908,522,990
images\Mouse_bite\08_mouse_bite_02.jpg,mouse_bite,764,1238,837,1287
images\Mouse_bite\08_mouse_bite_03.jpg,mouse_bite,2240,1061,2305,1136
images\Mouse_bite\08_mouse_bite_03.jpg,mouse_bite,1789,1292,1846,1336
images\Mouse_bite\08_mouse_bite_03.jpg,mouse_bite,1247,1308,1299,1367
images\Mouse_bite\08_mouse_bite_03.jpg,mouse_bite,1059,1808,1142,1870
images\Mouse_bite\08_mouse_bite_03.jpg,mouse_bite,2374,1297,2432,1369
images\Mouse_bite\08_mouse_bite_04.jpg,mouse_bite,1035,918,1086,974
images\Mouse_bite\08_mouse_bite_04.jpg,mouse_bite,459,1370,517,1416
images\Mouse_bite\08_mouse_bite_04.jpg,mouse_bite,2399,1000,2455,1054
images\Mouse_bite\08_mouse_bite_04.jpg,mouse_bite,2222,687,2278,747
images\Mouse_bite\08_mouse_bite_04.jpg,mouse_bite,546,574,604,647
images\Mouse_bite\08_mouse_bite_05.jpg,mouse_bite,2091,764,2138,818
images\Mouse_bite\08_mouse_bite_05.jpg,mouse_bite,1514,595,1586,643
images\Mouse_bite\08_mouse_bite_05.jpg,mouse_bite,1566,1202,1625,1264
images\Mouse_bite\08_mouse_bite_05.jpg,mouse_bite,1246,1326,1302,1387
images\Mouse_bite\08_mouse_bite_05.jpg,mouse_bite,293,1227,350,1288
images\Mouse_bite\08_mouse_bite_06.jpg,mouse_bite,892,920,950,979
images\Mouse_bite\08_mouse_bite_06.jpg,mouse_bite,1951,1177,1996,1239
images\Mouse_bite\08_mouse_bite_06.jpg,mouse_bite,2237,1285,2312,1366
images\Mouse_bite\08_mouse_bite_06.jpg,mouse_bite,1251,1295,1305,1361
images\Mouse_bite\08_mouse_bite_06.jpg,mouse_bite,558,584,615,656
images\Mouse_bite\08_mouse_bite_07.jpg,mouse_bite,1033,977,1086,1028
images\Mouse_bite\08_mouse_bite_07.jpg,mouse_bite,1953,1050,2010,1111
images\Mouse_bite\08_mouse_bite_07.jpg,mouse_bite,2396,987,2450,1061
images\Mouse_bite\08_mouse_bite_07.jpg,mouse_bite,2371,1634,2456,1690
images\Mouse_bite\08_mouse_bite_07.jpg,mouse_bite,1987,1784,2058,1839
images\Mouse_bite\08_mouse_bite_08.jpg,mouse_bite,1258,1302,1305,1361
images\Mouse_bite\08_mouse_bite_08.jpg,mouse_bite,617,900,668,966
images\Mouse_bite\08_mouse_bite_08.jpg,mouse_bite,2274,1206,2333,1264
images\Mouse_bite\08_mouse_bite_08.jpg,mouse_bite,2555,1343,2610,1421
images\Mouse_bite\08_mouse_bite_08.jpg,mouse_bite,1520,592,1586,638
images\Mouse_bite\08_mouse_bite_09.jpg,mouse_bite,1846,621,1925,667
images\Mouse_bite\08_mouse_bite_09.jpg,mouse_bite,2078,1067,2132,1125
images\Mouse_bite\08_mouse_bite_09.jpg,mouse_bite,1248,990,1307,1033
images\Mouse_bite\08_mouse_bite_09.jpg,mouse_bite,2550,1652,2607,1720
images\Mouse_bite\08_mouse_bite_09.jpg,mouse_bite,269,1757,319,1816
images\Mouse_bite\08_mouse_bite_10.jpg,mouse_bite,1668,916,1712,980
images\Mouse_bite\08_mouse_bite_10.jpg,mouse_bite,2230,685,2274,754
images\Mouse_bite\08_mouse_bite_10.jpg,mouse_bite,2281,413,2346,451
images\Mouse_bite\08_mouse_bite_10.jpg,mouse_bite,1189,1300,1225,1362
images\Mouse_bite\08_mouse_bite_10.jpg,mouse_bite,1812,1880,1853,1962
images\Mouse_bite\09_mouse_bite_01.jpg,mouse_bite,1758,1212,1800,1269
images\Mouse_bite\09_mouse_bite_01.jpg,mouse_bite,1269,1631,1345,1677
images\Mouse_bite\09_mouse_bite_01.jpg,mouse_bite,1517,815,1581,853
images\Mouse_bite\09_mouse_bite_01.jpg,mouse_bite,1125,435,1176,492
images\Mouse_bite\09_mouse_bite_01.jpg,mouse_bite,528,813,576,886
images\Mouse_bite\09_mouse_bite_02.jpg,mouse_bite,1543,433,1607,510
images\Mouse_bite\09_mouse_bite_02.jpg,mouse_bite,1194,861,1263,907
images\Mouse_bite\09_mouse_bite_02.jpg,mouse_bite,1949,1118,1990,1189
images\Mouse_bite\09_mouse_bite_02.jpg,mouse_bite,2076,1641,2149,1679
images\Mouse_bite\09_mouse_bite_02.jpg,mouse_bite,2040,174,2090,243
images\Mouse_bite\09_mouse_bite_03.jpg,mouse_bite,1554,730,1620,769
images\Mouse_bite\09_mouse_bite_03.jpg,mouse_bite,774,699,836,768
images\Mouse_bite\09_mouse_bite_03.jpg,mouse_bite,1545,1630,1625,1679
images\Mouse_bite\09_mouse_bite_03.jpg,mouse_bite,484,1336,563,1387
images\Mouse_bite\09_mouse_bite_03.jpg,mouse_bite,923,1120,959,1166
images\Mouse_bite\09_mouse_bite_04.jpg,mouse_bite,1622,504,1674,576
images\Mouse_bite\09_mouse_bite_04.jpg,mouse_bite,1127,717,1171,784
images\Mouse_bite\09_mouse_bite_04.jpg,mouse_bite,1133,1118,1172,1168
images\Mouse_bite\09_mouse_bite_04.jpg,mouse_bite,646,417,697,482
images\Mouse_bite\09_mouse_bite_04.jpg,mouse_bite,2276,481,2328,531
images\Mouse_bite\09_mouse_bite_05.jpg,mouse_bite,1477,497,1530,566
images\Mouse_bite\09_mouse_bite_05.jpg,mouse_bite,1749,1023,1825,1063
images\Mouse_bite\09_mouse_bite_05.jpg,mouse_bite,792,253,831,322
images\Mouse_bite\09_mouse_bite_05.jpg,mouse_bite,2277,1061,2341,1105
images\Mouse_bite\09_mouse_bite_05.jpg,mouse_bite,386,851,427,941
images\Mouse_bite\09_mouse_bite_06.jpg,mouse_bite,986,431,1033,499
images\Mouse_bite\09_mouse_bite_06.jpg,mouse_bite,861,951,933,1004
images\Mouse_bite\09_mouse_bite_06.jpg,mouse_bite,1305,1236,1366,1281
images\Mouse_bite\09_mouse_bite_06.jpg,mouse_bite,2631,689,2679,761
images\Mouse_bite\09_mouse_bite_06.jpg,mouse_bite,2307,556,2379,613
images\Mouse_bite\09_mouse_bite_07.jpg,mouse_bite,1130,430,1187,505
images\Mouse_bite\09_mouse_bite_07.jpg,mouse_bite,1666,523,1713,600
images\Mouse_bite\09_mouse_bite_07.jpg,mouse_bite,513,794,572,877
images\Mouse_bite\09_mouse_bite_07.jpg,mouse_bite,948,904,1018,959
images\Mouse_bite\09_mouse_bite_07.jpg,mouse_bite,2558,1715,2620,1756
images\Mouse_bite\09_mouse_bite_08.jpg,mouse_bite,1479,431,1525,497
images\Mouse_bite\09_mouse_bite_08.jpg,mouse_bite,1846,990,1918,1036
images\Mouse_bite\09_mouse_bite_08.jpg,mouse_bite,2587,1007,2654,1071
images\Mouse_bite\09_mouse_bite_08.jpg,mouse_bite,567,1272,613,1333
images\Mouse_bite\09_mouse_bite_08.jpg,mouse_bite,2431,635,2504,677
images\Mouse_bite\09_mouse_bite_09.jpg,mouse_bite,941,558,1000,612
images\Mouse_bite\09_mouse_bite_09.jpg,mouse_bite,581,500,656,569
images\Mouse_bite\09_mouse_bite_09.jpg,mouse_bite,1659,1017,1738,1059
images\Mouse_bite\09_mouse_bite_09.jpg,mouse_bite,1864,328,1945,374
images\Mouse_bite\09_mouse_bite_09.jpg,mouse_bite,1300,1494,1390,1541
images\Mouse_bite\09_mouse_bite_10.jpg,mouse_bite,1487,289,1543,361
images\Mouse_bite\09_mouse_bite_10.jpg,mouse_bite,1022,554,1084,605
images\Mouse_bite\09_mouse_bite_10.jpg,mouse_bite,1120,713,1179,784
images\Mouse_bite\09_mouse_bite_10.jpg,mouse_bite,2104,964,2195,1013
images\Mouse_bite\09_mouse_bite_10.jpg,mouse_bite,569,1112,631,1177
images\Mouse_bite\10_mouse_bite_01.jpg,mouse_bite,966,411,1042,499
images\Mouse_bite\10_mouse_bite_01.jpg,mouse_bite,1532,941,1633,1022
images\Mouse_bite\10_mouse_bite_01.jpg,mouse_bite,1017,1035,1097,1112
images\Mouse_bite\10_mouse_bite_01.jpg,mouse_bite,1494,1300,1575,1396
images\Mouse_bite\10_mouse_bite_01.jpg,mouse_bite,1907,1419,1975,1479
images\Mouse_bite\10_mouse_bite_02.jpg,mouse_bite,1291,561,1366,640
images\Mouse_bite\10_mouse_bite_02.jpg,mouse_bite,927,802,1011,882
images\Mouse_bite\10_mouse_bite_02.jpg,mouse_bite,1520,957,1611,1022
images\Mouse_bite\10_mouse_bite_02.jpg,mouse_bite,1910,1008,1975,1063
images\Mouse_bite\10_mouse_bite_02.jpg,mouse_bite,1833,416,1908,471
images\Mouse_bite\10_mouse_bite_02.jpg,mouse_bite,940,1427,1017,1496
images\Mouse_bite\10_mouse_bite_03.jpg,mouse_bite,962,425,1032,518
images\Mouse_bite\10_mouse_bite_03.jpg,mouse_bite,1668,1044,1743,1122
images\Mouse_bite\10_mouse_bite_03.jpg,mouse_bite,1853,600,1927,667
images\Mouse_bite\10_mouse_bite_03.jpg,mouse_bite,1833,1648,1917,1716
images\Mouse_bite\10_mouse_bite_03.jpg,mouse_bite,1808,1212,1887,1267
images\Mouse_bite\10_mouse_bite_04.jpg,mouse_bite,1416,341,1501,400
images\Mouse_bite\10_mouse_bite_04.jpg,mouse_bite,1146,731,1249,806
images\Mouse_bite\10_mouse_bite_04.jpg,mouse_bite,1023,1161,1107,1238
images\Mouse_bite\10_mouse_bite_04.jpg,mouse_bite,1197,1647,1297,1721
images\Mouse_bite\10_mouse_bite_04.jpg,mouse_bite,742,853,839,942
images\Mouse_bite\10_mouse_bite_05.jpg,mouse_bite,1155,406,1249,486
images\Mouse_bite\10_mouse_bite_05.jpg,mouse_bite,1975,486,2043,554
images\Mouse_bite\10_mouse_bite_05.jpg,mouse_bite,903,789,1007,863
images\Mouse_bite\10_mouse_bite_05.jpg,mouse_bite,1659,1042,1737,1132
images\Mouse_bite\10_mouse_bite_05.jpg,mouse_bite,1801,1518,1878,1571
images\Mouse_bite\11_mouse_bite_01.jpg,mouse_bite,973,375,1032,432
images\Mouse_bite\11_mouse_bite_01.jpg,mouse_bite,1253,401,1320,460
images\Mouse_bite\11_mouse_bite_01.jpg,mouse_bite,1509,1088,1571,1173
images\Mouse_bite\11_mouse_bite_01.jpg,mouse_bite,920,1476,986,1552
images\Mouse_bite\11_mouse_bite_01.jpg,mouse_bite,575,853,647,922
images\Mouse_bite\11_mouse_bite_02.jpg,mouse_bite,758,337,819,406
images\Mouse_bite\11_mouse_bite_02.jpg,mouse_bite,1488,529,1565,599
images\Mouse_bite\11_mouse_bite_02.jpg,mouse_bite,1070,719,1139,796
images\Mouse_bite\11_mouse_bite_02.jpg,mouse_bite,1139,1113,1240,1173
images\Mouse_bite\11_mouse_bite_02.jpg,mouse_bite,1734,1686,1814,1742
images\Mouse_bite\11_mouse_bite_03.jpg,mouse_bite,1078,644,1145,722
images\Mouse_bite\11_mouse_bite_03.jpg,mouse_bite,304,524,391,627
images\Mouse_bite\11_mouse_bite_03.jpg,mouse_bite,1086,1468,1132,1544
images\Mouse_bite\11_mouse_bite_03.jpg,mouse_bite,517,1458,576,1534
images\Mouse_bite\11_mouse_bite_03.jpg,mouse_bite,614,1147,680,1216
images\Mouse_bite\11_mouse_bite_04.jpg,mouse_bite,773,596,860,668
images\Mouse_bite\11_mouse_bite_04.jpg,mouse_bite,1029,1152,1112,1206
images\Mouse_bite\11_mouse_bite_04.jpg,mouse_bite,827,1386,902,1453
images\Mouse_bite\11_mouse_bite_04.jpg,mouse_bite,698,1608,781,1676
images\Mouse_bite\11_mouse_bite_04.jpg,mouse_bite,494,740,553,822
images\Mouse_bite\11_mouse_bite_05.jpg,mouse_bite,839,127,937,188
images\Mouse_bite\11_mouse_bite_05.jpg,mouse_bite,781,606,871,673
images\Mouse_bite\11_mouse_bite_05.jpg,mouse_bite,1160,1111,1258,1160
images\Mouse_bite\11_mouse_bite_05.jpg,mouse_bite,535,1127,622,1196
images\Mouse_bite\11_mouse_bite_05.jpg,mouse_bite,743,1570,840,1640
images\Mouse_bite\11_mouse_bite_06.jpg,mouse_bite,1073,660,1140,745
images\Mouse_bite\11_mouse_bite_06.jpg,mouse_bite,584,842,661,903
images\Mouse_bite\11_mouse_bite_06.jpg,mouse_bite,309,1401,381,1486
images\Mouse_bite\11_mouse_bite_06.jpg,mouse_bite,1357,1394,1452,1462
images\Mouse_bite\11_mouse_bite_06.jpg,mouse_bite,1884,1786,1940,1886
images\Mouse_bite\11_mouse_bite_07.jpg,mouse_bite,1012,531,1093,596
images\Mouse_bite\11_mouse_bite_07.jpg,mouse_bite,1278,326,1381,413
images\Mouse_bite\11_mouse_bite_07.jpg,mouse_bite,504,203,594,294
images\Mouse_bite\11_mouse_bite_07.jpg,mouse_bite,814,1062,901,1119
images\Mouse_bite\11_mouse_bite_07.jpg,mouse_bite,620,1372,680,1421
images\Mouse_bite\11_mouse_bite_08.jpg,mouse_bite,1511,1073,1565,1165
images\Mouse_bite\11_mouse_bite_08.jpg,mouse_bite,676,1068,755,1124
images\Mouse_bite\11_mouse_bite_08.jpg,mouse_bite,925,1203,994,1255
images\Mouse_bite\11_mouse_bite_08.jpg,mouse_bite,1432,1591,1489,1665
images\Mouse_bite\11_mouse_bite_08.jpg,mouse_bite,1039,524,1117,598
images\Mouse_bite\11_mouse_bite_09.jpg,mouse_bite,1073,657,1147,731
images\Mouse_bite\11_mouse_bite_09.jpg,mouse_bite,1255,1155,1330,1209
images\Mouse_bite\11_mouse_bite_09.jpg,mouse_bite,1101,1950,1199,2017
images\Mouse_bite\11_mouse_bite_09.jpg,mouse_bite,511,1399,573,1488
images\Mouse_bite\11_mouse_bite_09.jpg,mouse_bite,658,1650,739,1729
images\Mouse_bite\11_mouse_bite_10.jpg,mouse_bite,734,855,822,917
images\Mouse_bite\11_mouse_bite_10.jpg,mouse_bite,1006,1070,1104,1127
images\Mouse_bite\11_mouse_bite_10.jpg,mouse_bite,734,1116,817,1170
images\Mouse_bite\11_mouse_bite_10.jpg,mouse_bite,1071,1491,1137,1567
images\Mouse_bite\11_mouse_bite_10.jpg,mouse_bite,1425,1867,1491,1947
images\Mouse_bite\12_mouse_bite_01.jpg,mouse_bite,1757,463,1809,537
images\Mouse_bite\12_mouse_bite_01.jpg,mouse_bite,911,734,987,784
images\Mouse_bite\12_mouse_bite_01.jpg,mouse_bite,627,1204,680,1279
images\Mouse_bite\12_mouse_bite_01.jpg,mouse_bite,1761,1446,1806,1513
images\Mouse_bite\12_mouse_bite_01.jpg,mouse_bite,1268,1785,1322,1828
images\Mouse_bite\12_mouse_bite_02.jpg,mouse_bite,1317,503,1369,572
images\Mouse_bite\12_mouse_bite_02.jpg,mouse_bite,2217,401,2273,475
images\Mouse_bite\12_mouse_bite_02.jpg,mouse_bite,1660,1414,1704,1474
images\Mouse_bite\12_mouse_bite_02.jpg,mouse_bite,324,1163,367,1234
images\Mouse_bite\12_mouse_bite_02.jpg,mouse_bite,1027,1075,1095,1128
images\Mouse_bite\12_mouse_bite_03.jpg,mouse_bite,1409,337,1462,406
images\Mouse_bite\12_mouse_bite_03.jpg,mouse_bite,1655,681,1711,757
images\Mouse_bite\12_mouse_bite_03.jpg,mouse_bite,2271,532,2326,617
images\Mouse_bite\12_mouse_bite_03.jpg,mouse_bite,911,1194,1007,1250
images\Mouse_bite\12_mouse_bite_03.jpg,mouse_bite,1784,1239,1860,1288
images\Mouse_bite\12_mouse_bite_04.jpg,mouse_bite,627,677,706,730
images\Mouse_bite\12_mouse_bite_04.jpg,mouse_bite,626,1217,680,1294
images\Mouse_bite\12_mouse_bite_04.jpg,mouse_bite,1753,1444,1800,1517
images\Mouse_bite\12_mouse_bite_04.jpg,mouse_bite,1547,1786,1631,1839
images\Mouse_bite\12_mouse_bite_04.jpg,mouse_bite,107,1741,162,1823
images\Mouse_bite\12_mouse_bite_05.jpg,mouse_bite,1342,1077,1418,1126
images\Mouse_bite\12_mouse_bite_05.jpg,mouse_bite,793,1535,882,1588
images\Mouse_bite\12_mouse_bite_05.jpg,mouse_bite,1813,1459,1858,1537
images\Mouse_bite\12_mouse_bite_05.jpg,mouse_bite,749,1783,813,1830
images\Mouse_bite\12_mouse_bite_05.jpg,mouse_bite,2371,1670,2417,1741
images\Mouse_bite\12_mouse_bite_06.jpg,mouse_bite,1546,903,1598,977
images\Mouse_bite\12_mouse_bite_06.jpg,mouse_bite,1958,546,2011,623
images\Mouse_bite\12_mouse_bite_06.jpg,mouse_bite,1804,1454,1855,1530
images\Mouse_bite\12_mouse_bite_06.jpg,mouse_bite,735,1132,815,1181
images\Mouse_bite\12_mouse_bite_06.jpg,mouse_bite,624,1470,697,1523
images\Mouse_bite\12_mouse_bite_07.jpg,mouse_bite,1751,710,1807,804
images\Mouse_bite\12_mouse_bite_07.jpg,mouse_bite,2186,1046,2273,1094
images\Mouse_bite\12_mouse_bite_07.jpg,mouse_bite,482,1099,557,1152
images\Mouse_bite\12_mouse_bite_07.jpg,mouse_bite,1549,1663,1626,1710
images\Mouse_bite\12_mouse_bite_07.jpg,mouse_bite,1658,1423,1702,1494
